,player,span,mat,inns,balls,overs,mdns,runs,wkts,fig_rank,econ_rank
0,YS Chahal,2013-2024,160.0,159.0,3521.0,586.5,4,4602.0,205.0,35.0,
1,PP Chawla,2008-2024,192.0,191.0,3850.0,641.4,2,5108.0,192.0,80.0,
2,DJ Bravo,2008-2022,161.0,158.0,3119.0,519.5,3,4360.0,183.0,,
3,B Kumar,2011-2024,176.0,176.0,3910.0,651.4,14,4929.0,181.0,21.0,87.0
4,SP Narine,2012-2024,177.0,175.0,4075.0,679.1,3,4571.0,180.0,20.0,19.0
5,R Ashwin,2009-2024,212.0,208.0,4524.0,754.0,4,5369.0,180.0,,41.0
6,A Mishra,2008-2024,162.0,162.0,3371.0,561.5,6,4145.0,174.0,15.0,64.0
7,SL Malinga,2009-2019,122.0,122.0,2827.0,471.1,8,3365.0,170.0,9.0,44.0
8,JJ Bumrah,2013-2024,133.0,133.0,3053.0,508.5,8,3715.0,165.0,6.0,58.0
9,RA Jadeja,2008-2024,240.0,211.0,3829.0,638.1,2,4864.0,160.0,13.0,92.0
10,Harbhajan Singh,2008-2021,163.0,160.0,3416.0,569.2,6,4030.0,150.0,17.0,39.0
11,Rashid Khan,2017-2024,121.0,121.0,2859.0,476.3,4,3252.0,149.0,,27.0
12,UT Yadav,2010-2024,148.0,147.0,3050.0,508.2,5,4317.0,144.0,,
13,Sandeep Sharma,2013-2024,127.0,126.0,2822.0,470.2,8,3709.0,137.0,19.0,
14,HV Patel,2012-2024,106.0,103.0,2161.0,360.1,2,3149.0,135.0,30.0,
15,MM Sharma,2013-2024,112.0,111.0,2253.0,375.3,-,3256.0,132.0,7.0,
16,Mohammed Shami,2013-2023,110.0,110.0,2426.0,404.2,3,3412.0,127.0,49.0,
17,AR Patel,2014-2024,150.0,148.0,3099.0,516.3,2,3758.0,123.0,,56.0
18,TA Boult,2015-2024,104.0,103.0,2337.0,389.3,11,3230.0,121.0,89.0,
19,K Rabada,2017-2024,80.0,80.0,1818.0,303.0,2,2570.0,117.0,,
20,AD Russell,2012-2024,127.0,112.0,1697.0,282.5,-,2646.0,115.0,12.0,
21,A Nehra,2008-2017,88.0,88.0,1908.0,318.0,2,2495.0,106.0,41.0,
22,R Vinay Kumar,2008-2018,105.0,104.0,2122.0,353.4,1,2966.0,105.0,,
23,Z Khan,2008-2017,100.0,99.0,2200.0,366.4,5,2782.0,102.0,81.0,91.0
24,JD Unadkat,2010-2024,105.0,104.0,2131.0,355.1,3,3189.0,99.0,28.0,
25,DW Steyn,2008-2020,95.0,95.0,2176.0,362.4,7,2508.0,97.0,,31.0
26,CH Morris,2013-2021,81.0,81.0,1720.0,286.4,1,2295.0,95.0,,
27,SN Thakur,2015-2024,95.0,92.0,1866.0,311.0,3,2869.0,94.0,,
28,Mohammed Siraj,2017-2024,93.0,93.0,1958.0,326.2,4,2822.0,93.0,,
29,SR Watson,2008-2020,145.0,105.0,2029.0,338.1,3,2682.0,92.0,,
30,I Sharma,2008-2024,110.0,110.0,2309.0,384.5,6,3172.0,92.0,8.0,
31,RP Singh,2008-2016,82.0,82.0,1775.0,295.5,2,2338.0,90.0,,
32,P Kumar,2008-2017,119.0,119.0,2524.0,420.4,14,3251.0,90.0,,
33,PP Ojha,2008-2015,92.0,90.0,1899.0,316.3,1,2332.0,89.0,,62.0
34,Kuldeep Yadav,2016-2024,84.0,82.0,1746.0,291.0,1,2388.0,87.0,65.0,
35,DS Kulkarni,2008-2021,92.0,92.0,1787.0,297.5,8,2474.0,86.0,62.0,
36,JA Morkel,2008-2016,91.0,87.0,1723.0,287.1,3,2355.0,85.0,,
37,CV Varun,2019-2024,71.0,70.0,1588.0,264.4,1,2002.0,83.0,23.0,88.0
38,Imran Tahir,2014-2021,59.0,59.0,1316.0,219.2,1,1703.0,82.0,51.0,
39,IK Pathan,2008-2017,103.0,101.0,2043.0,340.3,10,2649.0,80.0,,
40,M Morkel,2009-2016,70.0,70.0,1629.0,271.3,3,2089.0,77.0,97.0,100.0
41,DL Chahar,2016-2024,81.0,81.0,1669.0,278.1,6,2221.0,77.0,57.0,
42,L Balaji,2008-2014,73.0,73.0,1513.0,252.1,2,2028.0,76.0,26.0,
43,Arshdeep Singh,2019-2024,65.0,65.0,1364.0,227.2,1,2052.0,76.0,34.0,
44,KV Sharma,2009-2024,84.0,82.0,1495.0,249.1,1,2087.0,76.0,75.0,
45,KH Pandya,2016-2024,127.0,117.0,2122.0,353.4,1,2606.0,76.0,,63.0
46,RD Chahar,2017-2024,78.0,77.0,1664.0,277.2,1,2141.0,75.0,,
47,MM Patel,2008-2017,63.0,63.0,1355.0,225.5,5,1698.0,74.0,24.0,81.0
48,KK Ahmed,2018-2024,57.0,57.0,1276.0,212.4,4,1881.0,74.0,,
49,Avesh Khan,2017-2024,63.0,62.0,1335.0,222.3,1,1974.0,74.0,,
50,MJ McClenaghan,2015-2019,56.0,56.0,1274.0,212.2,1,1803.0,71.0,,
51,R Bhatia,2008-2017,95.0,91.0,1636.0,272.4,1,2020.0,71.0,66.0,68.0
52,AB Dinda,2008-2017,78.0,75.0,1516.0,252.4,3,2073.0,69.0,86.0,
53,KA Pollard,2010-2022,189.0,107.0,1488.0,248.0,-,2180.0,69.0,,
54,T Natarajan,2017-2024,61.0,61.0,1337.0,222.5,2,1969.0,67.0,95.0,
55,SK Trivedi,2008-2013,76.0,75.0,1506.0,251.0,2,1904.0,65.0,,90.0
56,JH Kallis,2008-2014,98.0,89.0,1742.0,290.2,3,2293.0,65.0,,
57,HH Pandya,2015-2024,137.0,93.0,1418.0,236.2,-,2150.0,64.0,,
58,M Muralidaran,2008-2014,66.0,66.0,1524.0,254.0,1,1696.0,63.0,,16.0
59,Ravi Bishnoi,2020-2024,66.0,65.0,1411.0,235.1,1,1836.0,63.0,,
60,Shakib Al Hasan,2011-2021,71.0,70.0,1484.0,247.2,1,1839.0,63.0,,74.0
61,PJ Cummins,2014-2024,58.0,58.0,1319.0,219.5,2,1923.0,63.0,,
62,MG Johnson,2013-2018,54.0,54.0,1232.0,205.2,2,1702.0,61.0,,
63,Mustafizur Rahman,2016-2024,57.0,57.0,1298.0,216.2,2,1762.0,61.0,,
64,A Nortje,2020-2024,46.0,46.0,1054.0,175.4,1,1574.0,60.0,,
65,JP Faulkner,2011-2017,60.0,60.0,1227.0,204.3,4,1778.0,59.0,14.0,
66,S Kaul,2013-2022,55.0,55.0,1209.0,201.3,3,1739.0,58.0,,
67,SM Curran,2019-2024,59.0,58.0,1181.0,196.5,-,1900.0,58.0,48.0,
68,SK Warne,2008-2011,55.0,54.0,1194.0,199.0,1,1447.0,57.0,,55.0
69,JO Holder,2013-2023,46.0,46.0,995.0,165.5,-,1461.0,53.0,,
70,S Gopal,2014-2024,52.0,51.0,991.0,165.1,1,1349.0,52.0,77.0,
71,MA Starc,2014-2024,41.0,39.0,831.0,138.3,1,1137.0,51.0,68.0,
72,M Prasidh Krishna,2018-2022,51.0,51.0,1145.0,190.5,3,1703.0,49.0,,
73,NM Coulter-Nile,2013-2022,39.0,38.0,857.0,142.5,1,1100.0,48.0,64.0,
74,JC Archer,2018-2023,40.0,40.0,945.0,157.3,2,1171.0,48.0,,73.0
75,S Nadeem,2011-2021,72.0,70.0,1415.0,235.5,2,1784.0,48.0,,89.0
76,SB Jakati,2009-2017,59.0,57.0,1085.0,180.5,1,1451.0,47.0,,
77,TG Southee,2011-2023,54.0,54.0,1206.0,201.0,2,1742.0,47.0,,
78,LH Ferguson,2017-2024,45.0,45.0,955.0,159.1,1,1426.0,46.0,,
79,S Aravind,2011-2017,38.0,38.0,760.0,126.4,-,1039.0,45.0,59.0,
80,RJ Harris,2009-2013,37.0,37.0,832.0,138.4,3,1047.0,45.0,,84.0
81,A Kumble,2008-2010,42.0,42.0,965.0,160.5,1,1058.0,45.0,4.0,12.0
82,VR Aaron,2011-2022,52.0,50.0,994.0,165.4,2,1481.0,44.0,,
83,MP Stoinis,2016-2024,96.0,62.0,803.0,133.5,-,1274.0,43.0,69.0,
84,AJ Tye,2017-2022,30.0,30.0,684.0,114.0,-,979.0,42.0,16.0,
85,TU Deshpande,2020-2024,36.0,36.0,773.0,128.5,-,1243.0,42.0,,
86,MC Henriques,2009-2021,62.0,60.0,950.0,158.2,-,1289.0,42.0,,
87,YK Pathan,2008-2019,174.0,82.0,1147.0,191.1,1,1415.0,42.0,,67.0
88,R Sharma,2010-2014,44.0,44.0,928.0,154.4,1,1086.0,40.0,,36.0
89,Iqbal Abdulla,2008-2017,49.0,48.0,920.0,153.2,1,1109.0,40.0,,52.0
90,S Sreesanth,2008-2013,44.0,44.0,880.0,146.4,4,1190.0,40.0,,
91,P Awana,2012-2014,33.0,33.0,747.0,124.3,2,1029.0,39.0,,
92,DT Christian,2011-2021,49.0,49.0,883.0,147.1,-,1192.0,38.0,,
93,PJ Sangwan,2008-2022,42.0,42.0,856.0,142.4,1,1240.0,38.0,,
94,DE Bollinger,2010-2012,27.0,27.0,576.0,96.0,3,693.0,37.0,52.0,49.0
95,MR Marsh,2010-2024,42.0,34.0,560.0,93.2,1,795.0,37.0,,
96,M Markande,2018-2024,37.0,37.0,720.0,120.0,-,1069.0,37.0,71.0,
97,MS Gony,2008-2017,44.0,44.0,888.0,148.0,3,1287.0,37.0,,
98,GJ Maxwell,2012-2024,134.0,79.0,944.0,157.2,1,1303.0,37.0,,
99,Washington Sundar,2017-2024,60.0,58.0,1054.0,175.4,1,1325.0,37.0,,83.0
100,A Chandila,,,,,,,,,54.0,
101,A Madhwal,,,,,,,,,5.0,
102,A Singh,,,,,,,,,90.0,
103,A Zampa,,,,,,,,,3.0,
104,AD Mascarenhas,,,,,,,,,27.0,
105,AD Mathews,,,,,,,,,91.0,
106,AS Joseph,,,,,,,,,1.0,
107,AS Rajpoot,,,,,,,,,10.0,
108,BJ Hodge,,,,,,,,,53.0,
109,CJ Jordan,,,,,,,,,46.0,
110,CRD Fernando,,,,,,,,,85.0,
111,DR Smith,,,,,,,,,38.0,
112,JP Duminy,,,,,,,,,82.0,
113,KP Appanna,,,,,,,,,92.0,
114,L Ngidi,,,,,,,,,42.0,
115,MA Wood,,,,,,,,,11.0,
116,Mohammad Nabi,,,,,,,,,47.0,
117,Mohsin Khan,,,,,,,,,78.0,
118,P Negi,,,,,,,,,88.0,
119,PV Tambe,,,,,,,,,99.0,
120,PW Hasaranga,,,,,,,,,18.0,
121,RG Sharma,,,,,,,,,37.0,
122,S Badree,,,,,,,,,40.0,
123,Shoaib Akhtar,,,,,,,,,43.0,
124,Sohail Tanvir,,,,,,,,,2.0,
125,Umran Malik,,,,,,,,,29.0,
126,Yash Thakur,,,,,,,,,33.0,
127,NB Singh,2017-2017,,,,,,,,,1.0
128,DJ Thornely,2008-2008,,,,,,,,,2.0
129,M Manhas,2008-2014,,,,,,,,,3.0
130,MJ Clarke,2012-2012,,,,,,,,,4.0
131,A Chandila,2012-2013,,,,,,,,,5.0
132,MW Short,2023-2023,,,,,,,,,6.0
133,PH Solanki,2022-2022,,,,,,,,,7.0
134,Sohail Tanvir,2008-2008,,,,,,,,,8.0
135,KA Maharaj,2024-2024,,,,,,,,,9.0
136,SMSM Senanayake,2013-2013,,,,,,,,,10.0
137,SM Pollock,2008-2008,,,,,,,,,11.0
138,FH Edwards,2009-2009,,,,,,,,,13.0
139,GD McGrath,2008-2008,,,,,,,,,14.0
140,T Henderson,2009-2009,,,,,,,,,15.0
141,IS Sodhi,2018-2019,,,,,,,,,17.0
142,GH Vihari,2013-2019,,,,,,,,,18.0
143,RE van der Merwe,2009-2013,,,,,,,,,20.0
144,GR Napier,2009-2009,,,,,,,,,21.0
145,DL Vettori,2008-2012,,,,,,,,,22.0
146,Mohammad Hafeez,2008-2008,,,,,,,,,23.0
147,NL McCullum,2011-2011,,,,,,,,,24.0
148,PD Collingwood,2010-2010,,,,,,,,,25.0
149,R Rampaul,2013-2014,,,,,,,,,26.0
150,JW Hastings,2014-2016,,,,,,,,,28.0
151,J Yadav,2015-2023,,,,,,,,,29.0
152,M Ntini,2008-2008,,,,,,,,,30.0
153,J Botha,2009-2015,,,,,,,,,32.0
154,MJ Santner,2019-2024,,,,,,,,,33.0
155,AD Mascarenhas,2008-2013,,,,,,,,,34.0
156,MP Yadav,2024-2024,,,,,,,,,35.0
157,KMDN Kulasekara,2011-2012,,,,,,,,,37.0
158,MM Ali,2018-2024,,,,,,,,,38.0
159,AG Murtaza,2010-2013,,,,,,,,,40.0
160,BAW Mendis,2008-2013,,,,,,,,,42.0
161,C Nanda,2009-2009,,,,,,,,,43.0
162,T Thushara,2009-2010,,,,,,,,,45.0
163,CK Langeveldt,2009-2011,,,,,,,,,46.0
164,BMAJ Mendis,2013-2013,,,,,,,,,47.0
165,DJ Muthuswami,2015-2015,,,,,,,,,48.0
166,SE Bond,2010-2010,,,,,,,,,50.0
167,RN ten Doeschate,2011-2015,,,,,,,,,51.0
168,M Kartik,2008-2014,,,,,,,,,53.0
169,T Stubbs,2022-2024,,,,,,,,,54.0
170,SM Harwood,2009-2009,,,,,,,,,57.0
171,DP Nannes,2009-2013,,,,,,,,,59.0
172,Ankit Sharma,2012-2018,,,,,,,,,60.0
173,JM Kemp,2010-2010,,,,,,,,,61.0
174,JP Duminy,2009-2018,,,,,,,,,65.0
175,SK Raina,2008-2021,,,,,,,,,66.0
176,KP Pietersen,2009-2016,,,,,,,,,69.0
177,S Badree,2013-2017,,,,,,,,,70.0
178,RR Powar,2008-2012,,,,,,,,,71.0
179,MF Maharoof,2008-2010,,,,,,,,,72.0
180,Yuvraj Singh,2008-2019,,,,,,,,,75.0
181,Mohammad Nabi,2017-2024,,,,,,,,,76.0
182,Gurkeerat Singh,2012-2020,,,,,,,,,77.0
183,GB Hogg,2012-2016,,,,,,,,,78.0
184,Shahid Afridi,2008-2008,,,,,,,,,79.0
185,B Lee,2008-2013,,,,,,,,,80.0
186,CRD Fernando,2008-2010,,,,,,,,,82.0
187,WPUJC Vaas,2008-2010,,,,,,,,,85.0
188,DJ Willey,2018-2023,,,,,,,,,86.0
189,VS Malik,2009-2014,,,,,,,,,93.0
190,STR Binny,2010-2019,,,,,,,,,94.0
191,M Theekshana,2022-2024,,,,,,,,,95.0
192,SB Styris,2008-2011,,,,,,,,,96.0
193,A Symonds,2008-2011,,,,,,,,,97.0
194,IC Pandey,2013-2015,,,,,,,,,98.0
195,S Randiv,2011-2011,,,,,,,,,99.0
